timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-07-01 02:20:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Moderate,Excellent,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:22:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Moderate,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:24:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:26:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:28:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:30:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Moderate,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:32:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Moderate,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:34:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Good,Moderate,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:36:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Good,Moderate,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:38:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
